Player_ID,SEASON_ID,full_name,games_played,all_nba,FG_PCT,FG3_PCT,OREB,DREB,AST,STL,BLK,TOV,PTS,PLUS_MINUS
202691,22023,Klay Thompson,70,0,0.44919273567197615,0.8018658528126517,0.07378152921083461,0.23320984521695004,0.18667360184536058,0.24444444444444446,0.170797232161339,0.3679547132660595,0.4830564784053156,0.48126774963080776
202692,22023,Alec Burks,62,0,0.32000713052013974,0.7702549857135504,0.05847949488607207,0.13949464275482726,0.1043523109683547,0.13500597371565112,0.06637242005595582,0.17391407906123713,0.28782195548887224,0.3022778158472369
202694,22023,Marcus Morris Sr.,44,0,0.43945167033794363,0.7020050508553664,0.0781790336923229,0.19237849184563216,0.048282412537596964,0.09090909090909091,0.09953708059690257,0.14107354619291612,0.15433403805496831,0.4612089886712175
202695,22023,Kawhi Leonard,68,1,0.662380213822474,0.8874311984625992,0.24377386563755035,0.4476648208128723,0.3113931594483606,0.7723311546840959,0.3487236231689944,0.43194683731233074,0.6812585499316005,0.8336195548309067
202696,22023,Nikola Vucevic,70,0,0.580044678726019,0.6148990774779773,0.5762318799666888,0.7589647297640193,0.28997037472579656,0.274074074074074,0.32637283023331465,0.3972082556872121,0.5034330011074196,0.3926956719300239
202699,22023,Tobias Harris,66,0,0.5769358998274456,0.7043389432929559,0.21223199288607844,0.49030625975563813,0.2652899103429418,0.4523007856341189,0.24550253100242753,0.3330499183317297,0.47944561898050264,0.6628060681792365
202704,22023,Reggie Jackson,75,0,0.456039467159441,0.7586335576056044,0.05838553502618318,0.09130609828300769,0.33349627987968966,0.2093827160493827,0.046735665493686615,0.31164164410534084,0.26160206718346257,0.5780438486879473
202710,22023,Jimmy Butler,51,0,0.6256506476407545,0.786785616653542,0.38084472006369985,0.30746351826698703,0.4277253722448294,0.6477850399419026,0.12492237631960255,0.4055971391756308,0.6017631858945128,0.6926849803877022
202711,22023,Bojan Bogdanovic,49,0,0.4681322509961855,0.7857687848670716,0.05862331099814691,0.1875013593359191,0.15280890890470483,0.2222222222222222,0.02804379876562507,0.4750435739149215,0.4374307862679956,0.15676473929342277
203076,22023,Anthony Davis,69,1,0.7239021541759362,0.3654517161201601,0.6577799925252273,0.9355008108734266,0.30925934847994707,0.5195920558239399,0.9929891191849739,0.5107777147606358,0.7061004381530165,0.5706009315006249
